ticker,cik,cik_int,form,date,accession,accession_dashed,document,description
AAPL,0000320193,320193,8-K,2026-04-30,000032019326000011,0000320193-26-000011,aapl-20260430.htm,8-K
AAPL,0000320193,320193,8-K,2026-04-20,000114036126015711,0001140361-26-015711,ef20071035_8k.htm,8-K
AAPL,0000320193,320193,8-K,2026-02-24,000114036126006577,0001140361-26-006577,ef20060722_8k.htm,8-K
AAPL,0000320193,320193,8-K,2026-01-29,000032019326000005,0000320193-26-000005,aapl-20260129.htm,8-K
AAPL,0000320193,320193,8-K,2026-01-02,000114036126000199,0001140361-26-000199,ef20060722_8k.htm,8-K
AAPL,0000320193,320193,8-K,2025-12-05,000114036125044561,0001140361-25-044561,ef20060722_8k.htm,8-K
AAPL,0000320193,320193,8-K,2025-10-30,000032019325000077,0000320193-25-000077,aapl-20251030.htm,8-K
AAPL,0000320193,320193,8-K,2025-07-31,000032019325000071,0000320193-25-000071,aapl-20250731.htm,8-K
AAPL,0000320193,320193,8-K,2025-07-25,000114036125027340,0001140361-25-027340,ef20052355_8k.htm,8-K
AAPL,0000320193,320193,8-K,2025-07-09,000114036125025275,0001140361-25-025275,ef20051741_8k.htm,8-K
AAPL,0000320193,320193,8-K,2025-05-12,000114036125018400,0001140361-25-018400,ef20048691_8k.htm,8-K
AAPL,0000320193,320193,8-K,2025-05-01,000032019325000055,0000320193-25-000055,aapl-20250501.htm,8-K
AAPL,0000320193,320193,8-K,2025-02-25,000114036125005876,0001140361-25-005876,ef20044022_8k.htm,8-K
AAPL,0000320193,320193,8-K,2025-01-30,000032019325000007,0000320193-25-000007,aapl-20250130.htm,8-K
AAPL,0000320193,320193,8-K,2025-01-03,000114036125000228,0001140361-25-000228,ef20040370_8k.htm,FORM 8-K
AAPL,0000320193,320193,8-K,2024-10-31,000032019324000120,0000320193-24-000120,aapl-20241031.htm,8-K
AAPL,0000320193,320193,8-K,2024-09-10,000114036124040659,0001140361-24-040659,ef20035718_8k.htm,FORM 8-K
AAPL,0000320193,320193,8-K,2024-08-26,000114036124038601,0001140361-24-038601,ny20033611x3_8k.htm,FORM 8-K
AAPL,0000320193,320193,8-K,2024-08-23,000114036124038403,0001140361-24-038403,ny20033611x2_8k.htm,8-K
AAPL,0000320193,320193,8-K,2024-08-01,000032019324000080,0000320193-24-000080,aapl-20240801.htm,8-K
MSFT,0000789019,789019,8-K,2026-05-14,000119312526224155,0001193125-26-224155,d125909d8k.htm,8-K
MSFT,0000789019,789019,8-K,2026-04-29,000119312526191457,0001193125-26-191457,msft-20260429.htm,8-K
MSFT,0000789019,789019,8-K,2026-01-28,000119312526027198,0001193125-26-027198,msft-20260128.htm,8-K
MSFT,0000789019,789019,8-K,2025-12-08,000119312525311196,0001193125-25-311196,d34077d8k.htm,8-K
MSFT,0000789019,789019,8-K,2025-10-29,000119312525256310,0001193125-25-256310,msft-20251028.htm,8-K
MSFT,0000789019,789019,8-K,2025-09-30,000119312525225125,0001193125-25-225125,d863209d8k.htm,8-K
MSFT,0000789019,789019,8-K,2025-07-30,000095017025100226,0000950170-25-100226,msft-20250730.htm,8-K
MSFT,0000789019,789019,8-K,2025-07-01,000119312525154103,0001193125-25-154103,d84624d8k.htm,8-K
MSFT,0000789019,789019,8-K,2025-04-30,000095017025061032,0000950170-25-061032,msft-20250430.htm,8-K
MSFT,0000789019,789019,8-K,2025-01-29,000095017025010484,0000950170-25-010484,msft-20250129.htm,8-K
MSFT,0000789019,789019,8-K,2025-01-22,000119312525010492,0001193125-25-010492,d929748d8k.htm,8-K
MSFT,0000789019,789019,8-K,2024-12-11,000119312524275524,0001193125-24-275524,d865252d8k.htm,8-K
MSFT,0000789019,789019,8-K,2024-12-03,000095017024132722,0000950170-24-132722,msft-20241203.htm,8-K
MSFT,0000789019,789019,8-K,2024-10-30,000095017024118955,0000950170-24-118955,msft-20241030.htm,8-K
MSFT,0000789019,789019,8-K,2024-08-21,000119312524204403,0001193125-24-204403,d846847d8k.htm,8-K
MSFT,0000789019,789019,8-K,2024-07-30,000095017024087835,0000950170-24-087835,msft-20240730.htm,8-K
MSFT,0000789019,789019,8-K,2024-04-25,000095017024048268,0000950170-24-048268,msft-20240425.htm,8-K
MSFT,0000789019,789019,8-K/A,2024-03-08,000119312524062997,0001193125-24-062997,d808756d8ka.htm,8-K/A
MSFT,0000789019,789019,8-K,2024-01-30,000095017024008809,0000950170-24-008809,msft-20240130.htm,8-K
MSFT,0000789019,789019,8-K,2024-01-19,000119312524011295,0001193125-24-011295,d708866d8k.htm,8-K
TSLA,0001318605,1318605,8-K,2026-04-22,000162828026026551,0001628280-26-026551,tsla-20260422.htm,8-K
TSLA,0001318605,1318605,8-K,2026-04-02,000162828026022956,0001628280-26-022956,tsla-20260402.htm,8-K
TSLA,0001318605,1318605,8-K,2026-01-28,000162828026003837,0001628280-26-003837,tsla-20260128.htm,8-K
TSLA,0001318605,1318605,8-K,2026-01-02,000162828026000016,0001628280-26-000016,tsla-20260102.htm,8-K
TSLA,0001318605,1318605,8-K,2025-11-07,000110465925108507,0001104659-25-108507,tm2530590d1_8k.htm,FORM 8-K
TSLA,0001318605,1318605,8-K,2025-10-22,000162828025045861,0001628280-25-045861,tsla-20251022.htm,8-K
TSLA,0001318605,1318605,8-K,2025-10-02,000162828025043530,0001628280-25-043530,tsla-20251002.htm,8-K
TSLA,0001318605,1318605,8-K,2025-09-05,000110465925087862,0001104659-25-087862,tm2525337d1_8k.htm,FORM 8-K
TSLA,0001318605,1318605,8-K,2025-08-04,000110465925073263,0001104659-25-073263,tm2522385d1_8k.htm,FORM 8-K
TSLA,0001318605,1318605,8-K,2025-07-23,000162828025035738,0001628280-25-035738,tsla-20250723.htm,8-K
TSLA,0001318605,1318605,8-K,2025-07-10,000162828025034692,0001628280-25-034692,tsla-20250709.htm,8-K
TSLA,0001318605,1318605,8-K,2025-07-02,000162828025033842,0001628280-25-033842,tsla-20250702.htm,8-K
TSLA,0001318605,1318605,8-K,2025-05-16,000110465925050072,0001104659-25-050072,tm2515421d1_8k.htm,FORM 8-K
TSLA,0001318605,1318605,8-K,2025-05-16,000162828025026148,0001628280-25-026148,tsla-20250515.htm,8-K
TSLA,0001318605,1318605,8-K,2025-04-22,000162828025018851,0001628280-25-018851,tsla-20250422.htm,8-K
TSLA,0001318605,1318605,8-K,2025-04-02,000162828025016070,0001628280-25-016070,tsla-20250402.htm,8-K
TSLA,0001318605,1318605,8-K,2025-01-29,000162828025002993,0001628280-25-002993,tsla-20250129.htm,8-K
TSLA,0001318605,1318605,8-K,2025-01-02,000162828025000007,0001628280-25-000007,tsla-20250102.htm,8-K
TSLA,0001318605,1318605,8-K,2024-10-23,000162828024043432,0001628280-24-043432,tsla-20241023.htm,8-K
TSLA,0001318605,1318605,8-K,2024-10-02,000162828024041816,0001628280-24-041816,tsla-20241002.htm,8-K
JPM,0000019617,19617,8-K,2026-05-27,000119312526242018,0001193125-26-242018,d51433d8k.htm,8-K
JPM,0000019617,19617,8-K,2026-05-21,000001961726000228,0000019617-26-000228,jpm-20260519.htm,8-K
JPM,0000019617,19617,8-K,2026-05-07,000119312526211978,0001193125-26-211978,d903351d8k.htm,8-K
JPM,0000019617,19617,8-K,2026-04-24,000001961726000119,0000019617-26-000119,jpm-20260421.htm,8-K
JPM,0000019617,19617,8-K,2026-04-23,000119312526173739,0001193125-26-173739,d235028d8k.htm,8-K
JPM,0000019617,19617,8-K,2026-04-14,000162828026025013,0001628280-26-025013,jpm-20260414.htm,8-K
JPM,0000019617,19617,8-K,2026-04-14,000162828026024990,0001628280-26-024990,jpm-20260414.htm,8-K
JPM,0000019617,19617,8-K,2026-02-23,000162828026010693,0001628280-26-010693,jpm-20260223.htm,8-K
JPM,0000019617,19617,8-K,2026-02-05,000119312526039427,0001193125-26-039427,d23804d8k.htm,8-K
JPM,0000019617,19617,8-K,2026-01-22,000001961726000052,0000019617-26-000052,jpm-20260120.htm,8-K
JPM,0000019617,19617,8-K,2026-01-22,000119312526019450,0001193125-26-019450,d18152d8k.htm,8-K
JPM,0000019617,19617,8-K,2026-01-13,000162828026001915,0001628280-26-001915,jpm-20260113.htm,8-K
JPM,0000019617,19617,8-K,2026-01-13,000162828026001902,0001628280-26-001902,jpm-20260113.htm,8-K
JPM,0000019617,19617,8-K,2025-12-08,000001961725001100,0000019617-25-001100,jpm-20251207.htm,8-K
